8,18,19,30,39,13
19,20,25,31,35,12
19,12,31,39,9,8
12,34,25,17,42,15
36,35,28,19,18,7
30,29,33,2,45,16
33,32,6,40,36,7
8,5,22,4,1,15
6,9,10,12,32,17
8,20,37,16,39,9
5,37,30,23,16,12
1,4,13,5,34,10
27,17,5,28,22,8
14,35,32,39,29,20
21,14,20,35,4,10
22,16,28,13,11,13
31,7,27,21,13,3
29,42,14,21,34,13
15,18,42,22,3,14
45,16,2,5,35,13
28,5,36,25,38,3
45,8,24,37,35,20
19,20,43,10,4,16
11,19,6,29,17,16
27,5,2,15,42,19
29,13,44,11,17,9
10,36,6,43,9,17
11,45,12,19,43,17
10,37,35,36,18,3
38,22,32,7,3,20
21,44,13,18,27,18
15,6,2,14,8,2
5,3,43,7,42,20
1,24,28,31,22,4
3,40,10,34,25,10
23,40,10,17,14,20
25,43,24,28,15,17
36,26,44,27,13,9
45,32,2,34,21,6
29,2,19,12,30,7
14,16,39,36,27,2
19,7,2,21,12,2
43,13,15,29,36,16
13,41,7,28,42,4
14,29,33,44,10,16
6,13,5,43,22,11
4,42,14,39,24,6
16,25,24,31,4,3
25,41,18,36,22,20
40,4,20,32,7,4
37,20,24,1,25,11
12,25,7,34,3,8
33,43,10,40,15,5
10,34,1,41,40,6
20,29,22,16,42,1
13,31,39,17,14,14
15,40,39,29,5,17
5,24,44,32,8,9
43,8,41,12,11,14
19,9,25,17,15,4
8,33,32,3,12,6
41,15,6,32,21,7
22,44,7,33,25,20
18,40,26,13,20,19
18,33,19,5,28,17
33,26,35,29,19,14
